brand,name,yop,price
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
'25th Anniversary'",2019.0,43500.0
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
39mm Blue Dial",2012.0,71500.0
Audemars Piguet,"Audemars Piguet Royal Oak Chronograph
Selfwinding Chronograph Blue Dial",2022.0,108000.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Diver
2018 Unworn Royal Oak Offshore Diver (Limit 200pics)",2018.0,41000.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Diver Chronograph
26703ST.OO.A051CA.01",2016.0,43500.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
26470IO.OO.A006CA.01",2019.0,37800.0
Audemars Piguet,"Audemars Piguet Royal Oak Dual Time
26120ST.OO.1220ST.03",2015.0,32182.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
26401.RO.OO.A002.CA.01",2016.0,36473.0
Audemars Piguet,"Audemars Piguet Royal Oak Chronograph
“50th Anniversary” Royal Oak",2022.0,98692.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
26401PO.00.A018CR.01",2014.0,54954.0
Audemars Piguet,"Audemars Piguet Royal Oak
15500ST.OO.1220ST.01",2021.0,77156.0
Audemars Piguet,"Audemars Piguet Royal Oak Lady
15451ST.ZZ.D011CR.01",2019.0,35166.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Lady
Quartz",2018.0,39103.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
26470ST.OO.A028CR.01",2017.0,27136.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Lady
26231ST.ZZ.D069CA.01",2019.0,46976.0
Audemars Piguet,"Audemars Piguet Royal Oak Jumbo
Ultra Thin Stahl / deutsche Uhr / Full Set Ref. 15202",2005.0,80224.0
Audemars Piguet,"Audemars Piguet Royal Oak Chronograph
25860ST",2006.0,40054.0
Audemars Piguet,"Audemars Piguet Royal Oak
Carolina Bucci Black Ceramic with Rainbow Dial 77350CE.OO.1266CE.02.A",2023.0,95294.0
Audemars Piguet,"Audemars Piguet Royal Oak Chronograph
Frosted Yellow Gold 26240BA.GG.1324BA.01",2022.0,180000.0
Audemars Piguet,"Audemars Piguet Royal Oak Jumbo
50th Anniversary 16202ST.OO.1240ST.01",2022.0,97000.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
25770ST/O/0001KE/01",2002.0,23823.0
